sample_id,relative_pose_source,base_ref_source,weight,before_translation_error_m,before_rotation_error_rad,after_translation_error_m,after_rotation_error_rad,improved_translation_m,improved_rotation_rad
P0079,cached_base_ref,cached,0.5,0.00954905257422216,0.029224824596474817,0.005103564239699701,0.017200791489374177,0.004445488334522459,0.01202403310710064
P0080,same_frame,live,1.0,0.00906864561655956,0.025254489477493255,0.0030039783219152428,0.02294674861954959,0.006064667294644318,0.002307740857943663
P0081,cached_base_ref,cached,0.5,0.009005138188929243,0.038100064728255875,0.004179360518843277,0.0182861924492901,0.004825777670085966,0.019813872278965774
P0082,same_frame,live,1.0,0.00423047603862201,0.01231896042803485,0.003111209788464284,0.00712811100263442,0.0011192662501577255,0.005190849425400429
P0083,same_frame,live,1.0,0.0041632031415498915,0.02213246130797219,0.003709460144908847,0.014495709822276857,0.00045374299664104447,0.007636751485695332
P0084,same_frame,live,1.0,0.003291396908992111,0.011759853468824355,0.002552362131300088,0.0029094985943594696,0.0007390347776920232,0.008850354874464885
P0085,same_frame,live,1.0,0.005430502557548739,0.02291620256708984,0.005033638165594104,0.01245222388963493,0.0003968643919546348,0.01046397867745491
P0086,same_frame,live,1.0,0.009643642788392057,0.06492127791768905,0.0038012908100328213,0.031877722546887526,0.0058423519783592365,0.033043555370801524
P0087,same_frame,live,1.0,0.009113896897939709,0.0723745095494071,0.004799898990699447,0.03790732502683428,0.004313997907240261,0.03446718452257282
P0088,same_frame,live,1.0,0.013863079853626592,0.10924844517154561,0.006068419882845313,0.047132955799568776,0.007794659970781279,0.062115489371976834
P0089,same_frame,live,1.0,0.005056351320241438,0.028505960684784733,0.0026460390360757767,0.01229107162529526,0.0024103122841656614,0.016214889059489472
P0090,same_frame,live,1.0,0.0028091346993789753,0.020771621681243812,0.0016936433015947864,0.01904257532283284,0.001115491397784189,0.0017290463584109725
P0091,same_frame,live,1.0,0.0020130687923520492,0.022884889624697057,0.002955362112250698,0.02175643177744478,-0.0009422933198986487,0.0011284578472522781
P0092,same_frame,live,1.0,0.0026802453327257015,0.01959178108834043,0.0008885593254621396,0.016501369750658097,0.001791686007263562,0.0030904113376823347
P0093,same_frame,live,1.0,0.0034467399569074186,0.020939294592398374,0.0013269033186772965,0.017922738299592213,0.0021198366382301223,0.0030165562928061614
P0094,cached_base_ref,cached,0.5,0.0045062051180274395,0.026264682287511318,0.003385630170601099,0.009312356028833685,0.0011205749474263406,0.01695232625867763
P0095,cached_base_ref,cached,0.5,0.005080914582203064,0.030579631278336523,0.002450084223425547,0.012408074219973753,0.002630830358777517,0.01817155705836277
P0096,cached_base_ref,cached,0.5,0.011950133422194895,0.0641867667318942,0.007661106650482229,0.04338528821064529,0.0042890267717126665,0.020801478521248917
P0097,same_frame,live,1.0,0.01145884182081854,0.0775862815866713,0.011158306816319633,0.07510198804333727,0.00030053500449890753,0.002484293543334029
P0098,same_frame,live,1.0,0.0009546469872806341,0.010732190850737932,0.0023517531614725895,0.007755618600486775,-0.0013971061741919555,0.0029765722502511577
P0099,same_frame,live,1.0,0.0046465741445015545,0.03932879548517782,0.0026217565091954066,0.04647141136967727,0.002024817635306148,-0.007142615884499451
P0100,same_frame,live,1.0,0.0019770863533630366,0.007849209762229345,0.0014599156636325866,0.006053841613909928,0.00051717068973045,0.001795368148319417
